"Flow(s):","ODA","","Amount:","Current Prices (USD millions)","","Type of Aid:","All Types, Total","","Sector(s):","Total Bilateral Aid To All Sectors","","Flow Type(s):","Commitments-Total","","Channels:","All Channels, Total","",

"","Time Period","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"","Donor(s)","DAC Countries, Total","DAC Countries, Total","DAC Countries, Total","DAC Countries, Total","DAC Countries, Total","DAC Countries, Total","DAC Countries, Total","DAC Countries, Total","DAC Countries, Total","DAC Countries, Total","DAC Countries, Total","DAC Countries, Total","DAC Countries, Total",
"Recipient(s)",
"South Africa","","728.15863","712.16635","718.00306","1046.653852","1147.655496","893.844751","986.963062","863.222819","1317.593775","754.170001","1408.76839","917.644509","778.961833"
"South Sudan","","..","..","..","..","..","..","556.453122","1385.556","1505.392293","1750.344768","1369.00762","1634.992141","1401.03497"
"Sudan","","1925.806193","1477.112529","1477.869683","1996.979779","2276.746495","1553.528238","1161.515185","779.832052","759.05488","529.276597","516.824577","482.864493","467.197875"
"Tanzania","","1031.353308","1801.139606","1780.905239","2203.201469","2439.737254","1628.425182","1450.530061","1307.41633","1742.321717","1571.170201","1596.964468","1642.934029","1178.55645"
"Togo","","40.487517","47.419344","70.894971","185.809983","397.204836","269.778061","343.855086","125.771867","87.477173","102.600799","82.12978","112.686078","88.153322"
"Tunisia","","325.54935","385.415726","548.233711","951.740006","674.285985","565.165913","714.818082","779.353046","935.89917","902.349632","559.817555","581.234029","1340.855787"
"Uganda","","840.116487","765.680991","952.078926","1130.923106","1106.767391","1379.4234","1080.320413","849.266451","1095.890927","1077.074129","1284.524117","1239.992097","1259.472098"
"Zambia","","1700.211152","1245.164655","806.390125","806.625082","701.135141","504.517518","778.526245","739.459364","938.078364","711.873772","540.643481","586.011377","646.37537"
"Zimbabwe","","145.832957","230.411149","335.584165","548.665734","752.626078","484.005991","506.374129","616.793451","447.623899","361.282356","446.130407","466.736516","385.908483"
"Africa, regional","","413.760827","774.612085","1240.867744","1901.290969","1679.453463","1426.611033","1284.590979","1292.899446","1373.160125","1860.633704","1702.552915","1676.997149","1929.93098"
"North of Sahara, regional","","61.875452","126.08298","68.600985","192.760785","111.369453","129.968608","548.582817","100.419728","184.035067","218.863507","331.552482","100.405013","141.960366"
"South of Sahara, regional","","865.265692","1324.653034","1046.404748","1319.208815","1857.713977","1809.180391","1997.307384","1964.814852","2420.428115","2188.642604","2625.666918","2389.753718","1996.778473"
"Eastern Africa, regional","","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Middle Africa, regional","","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Southern Africa, regional","","..","..","..","..","..","..","..","..","..","..","..","..",".."
"Western Africa, regional","","..","..","..","..","..","..","..","..","..","..","..","..",".."
